year,total_events,total_fatalities,oos_rate,persistence,enrolment,oos_norm,persistence_norm,enrolment_norm,edu_baseline
2015,22,16,1033081.0,68.81,67.5,0.223,0.001,0.459,0.228
2016,41,81,895083.0,65.64,72.77,0.049,0.085,0.159,0.097
2017,97,117,896835.0,68.84,73.6,0.051,0.0,0.111,0.054
2018,233,303,856576.0,55.92,75.55,0.0,0.342,0.0,0.114
2019,634,2215,929223.0,54.45,74.2,0.092,0.381,0.077,0.183
2020,666,2299,1053836.0,62.06,71.48,0.249,0.179,0.232,0.22
2021,1339,2360,1098540.0,46.03,70.94,0.306,0.603,0.263,0.391
2022,1652,4227,1244709.0,31.03,67.75,0.491,1.0,0.445,0.645
2023,1716,8498,1647302.0,,58.03,1.0,,1.0,1.0
2024,1318,7486,1363187.0,,65.71,0.641,,0.562,0.601
2025,1371,5274,,,,,,,
2026,549,1612,,,,,,,
